year,Pubs,Courses,Jobs,DSDE
2010,2097658,,11697046,925
2011,2196120,,14230198,1524
2012,2306930,3,14083657,2667
2013,2403855,73,18464844,5007
2014,2373437,247,20091423,9075
2015,1944811,798,26889076,22988
2016,2368351,1922,26555682,24117
2017,,2080,,
2018,,1617,,
total,15691162,6740,132011926,66303
